time,latitude,longitude,temp_C,dewpoint_C,wind_speed,RH
2021-04-01 15:00:00,23.0,72.25,31.144623,10.559418,1.347688,28.13516
2021-04-01 15:00:00,23.0,72.5,31.718842,9.739105,1.6275504,25.778866
2021-04-01 15:00:00,23.0,72.75,31.316498,9.200043,2.5750062,25.436953
2021-04-01 15:00:00,22.75,72.25,30.644623,10.918793,0.96655566,29.650074
2021-04-01 15:00:00,22.75,72.5,32.166107,10.493011,0.5915324,26.43286
2021-04-01 15:00:00,22.75,72.75,32.322357,10.338715,1.6986499,25.932243
2021-04-01 16:00:00,23.25,72.25,31.295197,8.435455,0.25842428,24.186209
2021-04-01 16:00:00,23.25,72.5,32.84793,6.855377,1.4798398,19.889631
2021-04-01 16:00:00,23.25,72.75,29.6409,8.189362,2.7278092,26.149405
2021-04-01 16:00:00,23.0,72.25,29.654572,9.687408,0.7009641,28.907633
2021-04-01 16:00:00,23.0,72.5,31.539337,8.16983,0.72776765,23.426966
2021-04-01 16:00:00,23.0,72.75,31.365509,7.617096,2.1054542,22.78651
2021-04-01 16:00:00,22.75,72.25,29.699493,12.056549,1.6799262,33.74835
2021-04-01 16:00:00,22.75,72.5,28.695587,11.968658,1.5056843,35.558086
2021-04-01 16:00:00,22.75,72.75,29.060822,10.449127,1.6322631,31.47881
2021-04-01 17:00:00,23.25,72.25,29.04837,8.125885,0.4817137,26.94309
2021-04-01 17:00:00,23.25,72.5,30.692902,6.8797913,1.415516,22.513372
2021-04-01 17:00:00,23.25,72.75,27.89798,7.8036194,2.5034056,28.181383
2021-04-01 17:00:00,23.0,72.25,24.659698,10.4930725,1.9862593,40.897152
2021-04-01 17:00:00,23.0,72.5,26.544464,9.2274475,1.7706801,33.596554
2021-04-01 17:00:00,23.0,72.75,28.61673,7.9754944,2.2330089,27.34473
2021-04-01 17:00:00,22.75,72.25,25.624542,14.907135,2.85626,51.558464
2021-04-01 17:00:00,22.75,72.5,24.77298,14.639557,2.8894455,53.312405
2021-04-01 17:00:00,22.75,72.75,25.593292,12.825104,2.9263825,45.125206
2021-04-01 18:00:00,23.25,72.25,28.662872,7.5436096,1.6653198,26.481178
2021-04-01 18:00:00,23.25,72.5,30.12381,6.1529846,2.279713,22.12527
2021-04-01 18:00:00,23.25,72.75,28.108185,7.0553284,2.4850183,26.451456
2021-04-01 18:00:00,23.0,72.25,24.883575,11.3815,2.1998253,42.80642
2021-04-01 18:00:00,23.0,72.5,26.06717,10.248688,2.4799936,37.00559
2021-04-01 18:00:00,23.0,72.75,26.596466,8.942047,2.6187406,32.855762
2021-04-01 18:00:00,22.75,72.25,25.362091,17.40689,2.7271855,61.417473
2021-04-01 18:00:00,22.75,72.5,24.547638,17.246735,2.6529872,63.825356
2021-04-01 18:00:00,22.75,72.75,24.84842,16.010406,2.8293664,57.953102
2021-04-01 19:00:00,23.25,72.25,25.620514,8.540436,2.1677005,33.875763
2021-04-01 19:00:00,23.25,72.5,26.81192,6.7552795,2.291789,27.955801
2021-04-01 19:00:00,23.25,72.75,25.792389,7.4701233,1.9659985,31.179443
2021-04-01 19:00:00,23.0,72.25,24.38028,14.503326,2.385731,54.10158
2021-04-01 19:00:00,23.0,72.5,25.183014,13.313873,2.5140672,47.739155
2021-04-01 19:00:00,23.0,72.75,25.700592,11.964264,2.693988,42.375
2021-04-01 19:00:00,22.75,72.25,25.813873,20.079498,2.482058,70.66391
